  └─ debt=3.77 res=0.88 ent=0.10 emg=0.80 B:8 H:4 F:17 A:52 V:16 T:0
  └─ debt=3.70 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:17 A:44 V:16 T:0
  └─ debt=3.93 res=0.77 ent=0.33 emg=0.51 B:8 H:4 F:14 A:47 V:17 T:0
  └─ debt=3.85 res=0.76 ent=0.33 emg=0.51 B:8 H:3 F:14 A:47 V:19 T:0
  └─ debt=3.77 res=0.76 ent=0.34 emg=0.51 B:8 H:4 F:15 A:45 V:17 T:0
  └─ debt=3.69 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:15 A:46 V:16 T:0
  └─ debt=3.83 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:18 A:43 V:19 T:0
  └─ debt=3.89 res=0.76 ent=0.33 emg=0.51 B:8 H:4 F:20 A:58 V:19 T:0
  └─ debt=3.81 res=0.76 ent=0.34 emg=0.51 B:8 H:3 F:18 A:44 V:17 T:0
  └─ debt=3.74 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:17 A:41 V:14 T:0
  └─ debt=3.66 res=0.77 ent=0.34 emg=0.51 B:8 H:3 F:20 A:39 V:16 T:0
  └─ debt=3.59 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:19 A:30 V:16 T:0
  └─ debt=3.82 res=0.77 ent=0.33 emg=0.51 B:8 H:3 F:16 A:34 V:17 T:0
  └─ debt=3.75 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:16 A:51 V:19 T:0
  └─ debt=3.67 res=0.77 ent=0.30 emg=0.54 B:8 H:4 F:11 A:43 V:17 T:0
  └─ debt=3.60 res=0.89 ent=0.10 emg=0.80 B:8 H:4 F:14 A:56 V:16 T:0
  └─ debt=3.53 res=0.77 ent=0.30 emg=0.54 B:8 H:3 F:14 A:40 V:19 T:0
  └─ debt=4.43 res=0.89 ent=0.10 emg=0.80 B:8 H:3 F:15 A:47 V:19 T:0
  └─ debt=4.34 res=0.75 ent=0.30 emg=0.53 B:8 H:3 F:16 A:41 V:17 T:0
